name,url
glide,https://github.com/bumptech/glide
spring-boot,https://github.com/spring-projects/spring-boot
Hystrix,https://github.com/Netflix/Hystrix
dubbo,https://github.com/alibaba/dubbo
kotlin,https://github.com/JetBrains/kotlin
clojure,https://github.com/clojure/clojure
vert.x,https://github.com/eclipse/vert.x
presto,https://github.com/prestodb/presto
spark,https://github.com/perwendel/spark
druid,https://github.com/alibaba/druid
swagger-core,https://github.com/swagger-api/swagger-core
neo4j,https://github.com/neo4j/neo4j
DiskLruCache,https://github.com/JakeWharton/DiskLruCache
drag-sort-listview,https://github.com/bauerca/drag-sort-listview
closure-compiler,https://github.com/google/closure-compiler
CoreNLP,https://github.com/stanfordnlp/CoreNLP
spring-mvc-showcase,https://github.com/spring-projects/spring-mvc-showcase
ansj_seg,https://github.com/NLPchina/ansj_seg
nanohttpd,https://github.com/NanoHttpd/nanohttpd
pysonar2,https://github.com/yinwang0/pysonar2
mapdb,https://github.com/jankotek/mapdb
binnavi,https://github.com/google/binnavi
hazelcast,https://github.com/hazelcast/hazelcast
flink,https://github.com/apache/flink
elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik
Bukkit,https://github.com/Bukkit/Bukkit
wildfly,https://github.com/wildfly/wildfly
spring-security-oauth,https://github.com/spring-projects/spring-security-oauth
gephi,https://github.com/gephi/gephi
aws-sdk-java,https://github.com/aws/aws-sdk-java
helios,https://github.com/spotify/helios
javaee7-samples,https://github.com/javaee-samples/javaee7-samples
packr,https://github.com/libgdx/packr
keywhiz,https://github.com/square/keywhiz
KeyBox,https://github.com/skavanagh/KeyBox
GCViewer,https://github.com/chewiebug/GCViewer
stream-lib,https://github.com/addthis/stream-lib
frontend-maven-plugin,https://github.com/eirslett/frontend-maven-plugin
YCSB,https://github.com/brianfrankcooper/YCSB
torodb,https://github.com/torodb/torodb
learning-spark,https://github.com/databricks/learning-spark
javaslang,https://github.com/javaslang/javaslang
pinot,https://github.com/linkedin/pinot
javacv,https://github.com/bytedeco/javacv
dbeaver,https://github.com/serge-rider/dbeaver
Gaffer,https://github.com/gchq/Gaffer
byte-buddy,https://github.com/raphw/byte-buddy
mysql_perf_analyzer,https://github.com/yahoo/mysql_perf_analyzer
spring-boot-admin,https://github.com/codecentric/spring-boot-admin
OpenGrok,https://github.com/OpenGrok/OpenGrok
jeromq,https://github.com/zeromq/jeromq
ambrose,https://github.com/twitter/ambrose
jetty.project,https://github.com/eclipse/jetty.project
