SUBJECT,BUILDER,COMPILED,TESTS_PASS,ELAPSED_TIME
react-native,Gradle,False,False,0s
RxJava,Gradle,False,False,0s
retrofit,Maven,True,True,15s
okhttp,Maven,True,False,1m37s
java-design-patterns,Maven,True,True,2m14s
Android-Universal-Image-Loader,Gradle,False,False,0s
butterknife,Gradle,False,False,0s
guava,Maven,True,True,5m18s
iosched,Gradle,False,False,0s
EventBus,Gradle,False,False,0s
MPAndroidChart,Gradle,False,False,0s
picasso,Gradle,False,False,0s
leakcanary,Gradle,False,False,0s
glide,Gradle,False,False,0s
fresco,Gradle,False,False,0s
zxing,Maven,False,False,0s
spring-framework,Gradle,False,False,0s
SlidingMenu,Maven,False,False,0s
libgdx,Maven,True,False,4s
android-async-http,Gradle,False,False,0s
RxAndroid,Gradle,False,False,0s
ViewPagerIndicator,Maven,False,False,0s
netty,Maven,False,False,0s
PhotoView,Gradle,False,False,0s
spring-boot,Maven,True,False,14s
material-dialogs,Gradle,False,False,0s
Android-PullToRefresh,Maven,False,False,0s
ActionBarSherlock,Maven,False,False,0s
HomeMirror,Gradle,False,False,0s
Hystrix,Gradle,False,False,0s
plaid,Gradle,False,False,0s
AndroidSwipeLayout,Gradle,False,False,0s
fastjson,Maven,True,True,24s
Android-ObservableScrollView,Gradle,False,False,0s
Android-CleanArchitecture,Gradle,False,False,0s
android-UniversalMusicPlayer,Gradle,False,False,0s
android-Ultra-Pull-To-Refresh,Maven,False,False,0s
realm-java,Gradle,False,False,0s
MaterialDrawer,Gradle,False,False,0s
kotlin,Ant,False,False,0s
stetho,Gradle,False,False,0s
dubbo,Maven,True,False,1m20s
AndroidViewAnimations,Gradle,False,False,0s
cheesesquare,Gradle,False,False,0s
agera,Gradle,False,False,0s
FizzBuzzEnterpriseEdition,Maven,True,False,2s
greenDAO,Gradle,False,False,0s
clojure,Maven,True,True,1m6s
dagger,Maven,False,False,0s
PagerSlidingTabStrip,Gradle,N/A,N/A,N/A
Android-Bootstrap,Gradle,False,False,0s
AndroidSlidingUpPanel,Gradle,False,False,0s
junit4,Maven,True,True,11s
ListViewAnimations,Maven,False,False,0s
vert.x,Maven,True,False,6m33s
MaterialViewPager,Gradle,False,False,0s
presto,Maven,False,False,0s
AppIntro,Gradle,False,False,0s
CircleImageView,Gradle,False,False,0s
flexbox-layout,Gradle,False,False,0s
dropwizard,Maven,True,True,1m33s
spark,Maven,True,True,19s
Calligraphy,Gradle,False,False,0s
disruptor,Gradle,False,False,0s
logger,Gradle,False,False,0s
SimianArmy,Gradle,False,False,0s
ExoPlayer,Gradle,False,False,0s
recyclerview-animators,Gradle,False,False,0s
BottomBar,Gradle,False,False,0s
tinker,Gradle,False,False,0s
cardslib,Gradle,False,False,0s
otto,Maven,True,True,3s
zipkin,Maven,False,False,0s
druid,Maven,True,True,56s
AndroidStaggeredGrid,Gradle,False,False,0s
metrics,Maven,True,True,19s
StickyListHeaders,Gradle,False,False,0s
twoway-view,Gradle,False,False,0s
deeplearning4j,Maven,False,False,0s
jedis,Maven,True,False,3s
android-bootstrap,Gradle,False,False,0s
material,Gradle,N/A,N/A,N/A
ShowcaseView,Gradle,False,False,0s
EffectiveAndroidUI,Gradle,False,False,0s
u2020,Gradle,False,False,0s
android-volley,Maven,True,True,18s
android-floating-action-button,Gradle,False,False,0s
ActiveAndroid,Maven,False,False,0s
titan,Maven,True,False,12m46s
gradle,Gradle,False,False,0s
guice,Maven,True,True,39s
OpenRefine,Ant,False,False,0s
BaseRecyclerViewAdapterHelper,Gradle,False,False,0s
RxJava-Android-Samples,Gradle,False,False,0s
facebook-android-sdk,Gradle,False,False,0s
kafka,Gradle,False,False,0s
roboguice,Maven,False,False,0s
rebound,Gradle,False,False,0s
go-lang-idea-plugin,Gradle,False,False,0s
RxBinding,Gradle,False,False,0s
uCrop,Gradle,False,False,0s
android-common,Maven,False,False,0s
springside4,Maven,False,False,0s
druid,Maven,True,True,54s
NineOldAndroids,Maven,False,False,0s
auto,Maven,True,True,0s
hugo,Gradle,False,False,0s
AndroidAsync,Gradle,False,False,0s
android-topeka,Gradle,False,False,0s
RippleEffect,Gradle,N/A,N/A,N/A
scribejava,Maven,True,True,5s
DanmakuFlameMaster,Gradle,False,False,0s
swagger-core,Maven,True,True,21s
WeChatLuckyMoney,Gradle,False,False,0s
okhttputils,Gradle,False,False,0s
AVLoadingIndicatorView,Gradle,N/A,N/A,N/A
FloatingActionButton,Gradle,N/A,N/A,N/A
sweet-alert-dialog,Gradle,N/A,N/A,N/A
circular-progress-button,Gradle,N/A,N/A,N/A
android-gif-drawable,Gradle,False,False,0s
intellij-community,Ant,False,False,0s
AndroidImageSlider,Gradle,False,False,0s
SwipeBackLayout,Gradle,False,False,0s
Apktool,Gradle,False,False,0s
MaterialEditText,Gradle,False,False,0s
HikariCP,Maven,True,True,2m26s
mybatis-3,Maven,False,False,0s
jsoup,Maven,True,True,2s
SmartTabLayout,Gradle,False,False,0s
SystemBarTint,Gradle,False,False,0s
aerosolve,Gradle,False,False,0s
material-theme-jetbrains,Gradle,False,False,0s
jadx,Gradle,False,False,0s
mockito,Gradle,False,False,0s
SmoothProgressBar,Gradle,False,False,0s
Side-Menu.Android,Gradle,N/A,N/A,N/A
RoundedImageView,Gradle,False,False,0s
AndroidAutoLayout,Gradle,False,False,0s
ActionBar-PullToRefresh,Gradle,False,False,0s
che,Maven,False,False,0s
android-times-square,Gradle,False,False,0s
InstaMaterial,Gradle,False,False,0s
acra,Maven,False,False,0s
webmagic,Maven,True,False,8s
NumberProgressBar,Gradle,False,False,0s
androidmvp,Gradle,N/A,N/A,N/A
async-http-client,Maven,True,False,2m22s
hellocharts-android,Gradle,False,False,0s
buck,Ant,False,False,0s
sqlbrite,Gradle,False,False,0s
lombok,Ant,False,False,0s
Depth-LIB-Android-,Gradle,False,False,0s
openhab,Maven,True,True,4m29s
neo4j,Maven,True,True,106m55s
Luban,Gradle,False,False,0s
cassandra,Ant,False,False,0s
android-crop,Gradle,False,False,0s
DiskLruCache,Maven,True,True,3s
timber,Gradle,False,False,0s
android-gpuimage,Gradle,False,False,0s
drag-sort-listview,Maven,False,False,0s
Crouton,Gradle,False,False,0s
robospice,Maven,False,False,0s
actor-platform,Gradle,False,False,0s
okio,Maven,True,True,1m53s
SimplifyReader,Gradle,False,False,0s
Bolts-Android,Gradle,False,False,0s
anthelion,Ant,False,False,0s
DBFlow,Gradle,False,False,0s
AndEngine,Ant,False,False,0s
FadingActionBar,Gradle,False,False,0s
robolectric,Gradle,False,False,0s
PermissionsDispatcher,Gradle,False,False,0s
Sunshine-Version-2,Gradle,False,False,0s
ZhihuDailyPurify,Gradle,False,False,0s
k-9,Gradle,False,False,0s
Phoenix,Gradle,False,False,0s
closure-compiler,Maven,True,True,1m9s
atmosphere,Maven,True,True,35s
muzei,Gradle,False,False,0s
alluxio,Maven,True,True,7m51s
retrolambda,Maven,False,False,0s
dialogplus,Gradle,False,False,0s
RocketMQ,Maven,True,True,2s
android-menudrawer,Gradle,N/A,N/A,N/A
android-iconify,Gradle,False,False,0s
WilliamChart,Gradle,False,False,0s
orientdb,Maven,True,True,10m54s
gocd,Gradle,False,False,0s
InfiniteCycleViewPager,Gradle,False,False,0s
Meizhi,Gradle,False,False,0s
FileDownloader,Gradle,False,False,0s
LoganSquare,Gradle,False,False,0s
Android-Material-Examples,Gradle,False,False,0s
